id_text	id_student	title	key_words	id_supervisor	year
1	1	'Региональная конкуренция французских банков на внутреннем рынке Франции'	'конкуренция, рынок, Франция'	5	2016
2	2	'Принцип эмерджентности в современных нейронаучных теориях сознания: Дж. Эдельман, Б. Баарс, Дж. Тонони'	'теория сознания, эмерджентность'	2	2016
3	3	'Фантастика и антиутопия: репрезентация тоталитаризма в современном популярном кинематографе'	'кинематограф, тоталитаризм'	6	2016
4	4	'Трансформация мифа о Пигмалионе в пьесе Бернарда Шоу и ее экранизациях'	'Пигмалион, миф'	1	2016
5	5	'Особенности правового регулирования смешанных договоров в Российской Федерации'	'правовое регулирование'	7	2016
6	6	'Многомерные обобщения теоремы Абеля'	'теорема Абеля'	9	2016
7	7	'Практики использования населением интернет-банкинга и электронных платежных систем в современной России'	'интернет-банкинг'	3	2016
8	8	'Совершенствование системы подбора персонала в организации'	'подбор персонала'	8	2016
9	9	'Разработка рекомендаций по развитию и адаптации стратегии компании General Electric Россия/ СНГ в условиях кризиса 2016 года'	'General Electric'	4	2016
10	10	'Экстремизм в современной России: отражение в медиа, технологии противодействия и судебная практика'	'экстремизм'	3	2016
